"s_klassen_id";"s_klasse";"s_code";"s_name";"s_bem"
193;"Komplextyp";"0";"None";"None"
194;"Komplextyp";"0";"None";"None"
195;"Komplextyp";"0";"None";"None"
196;"Komplextyp";"0";"None";"None"
197;"Komplextyp";"0";"None";"None"
198;"Komplextyp";"0";"None";"None"
199;"Komplextyp";"0";"None";"None"
200;"Komplexqualität";"S";"sicher geschlossener Fund (dokumentiertes Grab)";"None"
201;"Komplexqualität";"w";"wahrscheinlicher geschlossener Fund (als zu einem Grab gehörend genannte Funde, Depot)";"None"
203;"Komplexqualität";"K";"kein geschlossener Fund (sonstiges)";"None"
205;"Komplexqualität";"0";"None";"None"
206;"Komplexqualität";"0";"None";"None"
207;"Komplexqualität";"0";"None";"None"
208;"Komplexqualität";"0";"None";"None"
209;"Komplexqualität";"0";"None";"None"
210;"Komplexqualität";"0";"None";"None"
211;"Komplexqualität";"0";"None";"None"
212;"Komplexqualität";"0";"None";"None"
213;"Komplexqualität";"0";"None";"None"
214;"Komplexqualität";"0";"None";"None"
215;"Komplexqualität";"0";"None";"None"
216;"Komplexqualität";"0";"None";"None"
217;"Komplexqualität";"0";"None";"None"
218;"Komplexqualität";"0";"None";"None"
219;"Komplexqualität";"0";"None";"None"
220;"Schichttyp";"dokumentierte Schicht";"dokumentierte Schicht mit Fundtrennung";"None"
221;"Schichttyp";"Schicht, schlechte Fundtrennung";"Schicht mit unsauberer Fundtrennung";"None"
222;"Schichttyp";"Schichtpaket";"Schichtpaket mit Fundtrennung (keine sichere Zuweisung zu einzelnen Schichten)";"None"
223;"Schichttyp";"keine Strat";"keine stratigraphische Einordnung";"None"
224;"Schichttyp";"unbekannt";"unbekannt";"None"
225;"Schichttyp";"0";"None";"None"
226;"Schichttyp";"0";"None";"None"
227;"Schichttyp";"0";"None";"None"
228;"Schichttyp";"0";"None";"None"
229;"Schichttyp";"0";"None";"None"
230;"Schichttyp";"0";"None";"None"
231;"Schichttyp";"0";"None";"None"
232;"Schichttyp";"0";"None";"None"
233;"Schichttyp";"0";"None";"None"
234;"Schichttyp";"0";"None";"None"
235;"Schichttyp";"0";"None";"None"
236;"Schichttyp";"0";"None";"None"
237;"Schichttyp";"0";"None";"None"
238;"Schichttyp";"0";"None";"None"
239;"Schichttyp";"0";"None";"None"
240;"Erhaltung";"weitgehend";"weitgehend erhalten";"None"
241;"Erhaltung";"teilweise";"teilweise erhalten";"None"
242;"Erhaltung";"möglicherweise";"möglicherweise teilweise erhalten";"None"
243;"Erhaltung";"zerstört";"zerstört";"None"
244;"Erhaltung";"unbekannt";"unbekannt";"None"
245;"Erhaltung";"0";"None";"None"
246;"Erhaltung";"0";"None";"None"
247;"Erhaltung";"0";"None";"None"
248;"Erhaltung";"0";"None";"None"
249;"Erhaltung";"0";"None";"None"
250;"Erhaltung";"0";"None";"None"
251;"Erhaltung";"0";"None";"None"
252;"Erhaltung";"0";"None";"None"
253;"Erhaltung";"0";"None";"None"
254;"Erhaltung";"0";"None";"None"
255;"Erhaltung";"0";"None";"None"
256;"Erhaltung";"0";"None";"None"
257;"Erhaltung";"0";"None";"None"
258;"Erhaltung";"0";"None";"None"
259;"Erhaltung";"0";"None";"None"
260;"Sichtbarkeit";"gelände gut erkennbar";"im Gelände deutlich erkennbar";"None"
261;"Sichtbarkeit";"gelände erkennbar";"im Gelände erkennbar";"None"
262;"Sichtbarkeit";"luft erkennbar";"im Luftbild erkennbar";"None"
263;"Sichtbarkeit";"nicht erkennbar";"nicht erkennbar";"None"
264;"Sichtbarkeit";"unbekannt";"unbekannt";"None"
265;"Sichtbarkeit";"0";"None";"None"
266;"Sichtbarkeit";"0";"None";"None"
267;"Sichtbarkeit";"0";"None";"None"
268;"Sichtbarkeit";"0";"None";"None"
269;"Sichtbarkeit";"0";"None";"None"
270;"Sichtbarkeit";"0";"None";"None"
271;"Sichtbarkeit";"0";"None";"None"
272;"Sichtbarkeit";"0";"None";"None"
273;"Sichtbarkeit";"0";"None";"None"
274;"Sichtbarkeit";"0";"None";"None"
275;"Sichtbarkeit";"0";"None";"None"
276;"Sichtbarkeit";"0";"None";"None"
277;"Sichtbarkeit";"0";"None";"None"
278;"Sichtbarkeit";"0";"None";"None"
279;"Sichtbarkeit";"0";"None";"None"
280;"Zugang";"nicht zugänglich";"gut zugänglich";"None"
281;"Zugang";"teilweise";"teilweise zugänglich";"None"
282;"Zugang";"erschwert";"erschwert zugänglich";"None"
283;"Zugang";"unzugänglich";"nicht zugänglich";"None"
284;"Zugang";"unbekannt";"unbekannt";"None"
285;"Zugang";"0";"None";"None"
286;"Zugang";"0";"None";"None"
287;"Zugang";"0";"None";"None"
288;"Zugang";"0";"None";"None"
289;"Zugang";"0";"None";"None"
290;"Zugang";"0";"None";"None"
291;"Zugang";"0";"None";"None"
292;"Zugang";"0";"None";"None"
293;"Zugang";"0";"None";"None"
294;"Zugang";"0";"None";"None"
295;"Zugang";"0";"None";"None"
296;"Zugang";"0";"None";"None"
297;"Zugang";"0";"None";"None"
298;"Zugang";"0";"None";"None"
299;"Zugang";"0";"None";"None"
202;"Komplexqualität";"m";"möglicher geschlossener Fund (nicht dokumentiertes Grab oder Altfunde, Siedlungsbefunde kurzer Laufzeit ohne Störung)wird bei der Datierung nicht berücksichtigt";"None"
380;"Huegelform";"Rundhuegel";"Rundhuegel";"None"
382;"Huegelform";"Langhuegel";"Langhuegel";"None"
316;"Aufindungsursache";"0";"None";"None"
114;"Objekttypen";"u";"unbekannt";"None"
400;"Grabkonstruktion";"Kammergrab";"Kammergrab";"None"
401;"Grabkonstruktion";"Grabgrube";"Grabgrube";"None"
402;"Grabkonstruktion";"Siedlungsgrube";"Siedlungsgrube";"None"
403;"Grabkonstruktion";"Bauopfer";"Bauopfer";"None"
404;"Grabkonstruktion";"Oberflächenniederlegung";"Oberflächenniederlegung";"None"
405;"Grabkonstruktion";"Sonstiges";"Sonstiges";"None"
406;"Grabkonstruktion";"unbekannt";"unbekannt";"None"
975;"Merkmal";"0";"None";"None"
407;"Grabkonstruktion";"0";"None";"None"
408;"Grabkonstruktion";"0";"None";"None"
