"h_loc07_id";"form";"dmbreite";"laenge";"hoehe";"grabzahl";"steinkranz";"kreisgraben";"pfosten";"stele";"stratigraphie";"h_bem";"pfostenstellungen"
14439;384;20;0;1;0;f;f;f;f;f;"leer";f
14440;384;20;0;1.5;0;f;f;f;f;f;"leer";f
14441;384;25;0;1.2;0;f;f;f;f;f;"leer";f
14442;384;15;0;0.5;0;f;f;f;f;f;"leer";f
14443;384;25;0;1.5;0;f;f;f;f;f;"leer";f
14444;384;25;0;0.6;0;f;f;f;f;f;"leer";f
14445;384;25;0;0.5;0;f;f;f;f;f;"leer";f
14446;384;0;0;0;0;f;f;f;f;f;"";f
14447;384;0;0;0;0;f;f;f;f;f;"";f
3959;384;0;0;0;0;f;f;f;f;f;"leer";f
